State,Title,Source,Format,SizeMB,Updated,Filename,URL
Wisconsin,"2016 WI Election Data Projected to 2020 VTDs",VEST,CSV,0.442835,20210922,wi_2016_2020_vtd.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fdata_partners%2Fvest%2F2016_2018_proj_to_2020_vtds_or_block%2Fwi_2016_2020_vtd.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=28735
Wisconsin,"2016 WI General Precinct Election Results",MEDSL,CSV,1.186836,20210716,wi_medsl_16_general.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fdata_partners%2Fmedsl%2Fwi_medsl_16_general.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=24011
Wisconsin,"2016 WI Primary Precinct Election Results",MEDSL,CSV,1.021138,20210716,wi_medsl_16_primary.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fdata_partners%2Fmedsl%2Fwi_medsl_16_primary.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=24013
Wisconsin,"2016 Wisconsin General Election Results Disaggregated to 2020 Census Blocks",RDH,SHP,133.5,20250328,wi_2016_gen_2020_blocks.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fdisag_votes_block%2Fwi_2016_gen_2020_blocks.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=37227
Wisconsin,"2018 WI Election Data Projected to 2020 VTDs",VEST,CSV,0.721243,20210922,wi_2018_2020_vtd.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fdata_partners%2Fvest%2F2016_2018_proj_to_2020_vtds_or_block%2Fwi_2018_2020_vtd.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=28661
Wisconsin,"2018 WI General Precinct Election Results",MEDSL,CSV,21.4,20220408,wi_medsl_18_general.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fdata_partners%2Fmedsl%2Fwi_medsl_18_general.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=23994
Wisconsin,"2020 Census Adjacency Files for Wisconsin",RDH,CSV,6.2,20220801,wi_census_2020_adjacencies.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fadjacency%2Fwi_census_2020_adjacencies.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=36446
Wisconsin,"2020 WI Election Data Projected to 2020 VTDs",VEST,CSV,0.423115,20210922,wi_2020_2020_vtd.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fdata_partners%2Fvest%2F2016_2018_proj_to_2020_vtds_or_block%2Fwi_2020_2020_vtd.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=28725
Wisconsin,"2020 WI General Precinct Election Results",MEDSL,CSV,0.935341,20210716,wi_medsl_20_general.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fdata_partners%2Fmedsl%2Fwi_medsl_20_general.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=23987
Wisconsin,"2020 WI L2 Voterfile Elections Turnout Statistics Aggregated to Census Blocks",L2,CSV,8,20221102,WI_l2_turnout_2020blockAgg.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fvoterfile%2Fl2_2020blockagg_20220609%2FWI_l2_turnout_2020blockAgg.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=36608
Wisconsin,"2020 Wisconsin Elections Turnout by Race & Ethnicity Aggregated to 2020 Census VTDs",L2,CSV,1.2,20211025,WI_L2_Turnout_2020VTDAgg.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fvoterfile%2Fl2_turnout_stats_vtd20_20211022%2FWI_L2_Turnout_2020VTDAgg.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=31370
Wisconsin,"2020 Wisconsin General Election Results Disaggregated to the 2020 Block",RDH,SHP,131.4,20250328,wi_2020_gen_2020_blocks.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fdisag_votes_block%2Fwi_2020_gen_2020_blocks.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=36797
Wisconsin,"2020 Wisconsin PPI Correctional facility population counts at the block level",PPI,SHP,0.1,20211005,wi_ppi_2020.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2FPPI_2020%2Fwi_ppi_2020.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=30640
Wisconsin,"2021 Wisconsin L2 Voter File Aggregated to 2010 Census Blocks",L2,CSV,5.2,20210430,WI_L2_2010BlockAgg.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fvoterfile%2Fl2_2010blockagg_20210413%2FWI_L2_2010BlockAgg.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=20669
Wisconsin,"2021 Wisconsin L2 Voter File Aggregated to 2020 Census Blocks",L2,CSV,5.2,20210907,WI_L2_2020BlockAgg.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fvoterfile%2Fl2_2020blockagg_20210902%2FWI_L2_2020BlockAgg.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=26482
Wisconsin,"2021 Wisconsin L2 Voter File Aggregated to 2020 Census VTDs",L2,CSV,0.7,20210928,WI_L2_2020VTDAgg.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fvoterfile%2Fl2_2020vtdagg_20210928%2FWI_L2_2020VTDAgg.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=30454
Wisconsin,"2021 Wisconsin L2 Voter File with Commercial Fields Aggregated to 2010 Census Blocks",L2,CSV,20,20210427,WI_L2_Comm_2010BlockAgg.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fvoterfile%2Fl2_comm_2010blockagg_20210413%2FWI_L2_Comm_2010BlockAgg.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=18562
Wisconsin,"2021 Wisconsin L2 Voter File with Commercial Fields Aggregated to 2020 Census Blocks",L2,CSV,19.5,20210907,WI_L2_Comm_2020BlockAgg.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fvoterfile%2Fl2_comm_2020blockagg_20210902%2FWI_L2_Comm_2020BlockAgg.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=26533
Wisconsin,"2021-2030 WI HastaqDNA Population Projections joined to 2020 Census Block Groups, P1",HaystaqDNA,SHP,36.177997,20210521,wi_bg_proj_P1_2020tiger.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fprojection_geographies%2F20210519%2Fbgp1_zipped%2Fwi_bg_proj_P1_2020tiger.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=23195
Wisconsin,"2021-2030 WI HastaqDNA Population Projections joined to 2020 Census Block Groups, P1",HaystaqDNA,CSV,1.671116,20210521,wi_bg_proj_P1_2020tiger.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fprojections%2F20210519%2Fbg_p1_csv_zipped%2Fwi_bg_proj_P1_2020tiger.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=23195
Wisconsin,"2021-2030 WI HastaqDNA Population Projections joined to 2020 Census Block Groups, P2",HaystaqDNA,SHP,41.754971,20210521,wi_bg_proj_P2_2020tiger.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fprojection_geographies%2F20210519%2Fbgp2_zipped%2Fwi_bg_proj_P2_2020tiger.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=23245
Wisconsin,"2021-2030 WI HastaqDNA Population Projections joined to 2020 Census Block Groups, P2",HaystaqDNA,CSV,2.199718,20210521,wi_bg_proj_P2_2020tiger.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fprojections%2F20210519%2Fbg_p2_csv_zipped%2Fwi_bg_proj_P2_2020tiger.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=23245
Wisconsin,"2021-2030 WI HastaqDNA Population Projections joined to 2020 Census Blocks, P1",HaystaqDNA,SHP,887.873511,20210521,wi_b_proj_P1_2020tiger.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fprojection_geographies%2F20210519%2Fb_p1_zipped%2Fwi_b_proj_P1_2020tiger.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=23075
Wisconsin,"2021-2030 WI HastaqDNA Population Projections joined to 2020 Census Blocks, P1",HaystaqDNA,CSV,52.604684,20210521,wi_b_proj_P1_2020tiger.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fprojections%2F20210519%2Fblock_p1_csv_zipped%2Fwi_b_proj_P1_2020tiger.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=23075
Wisconsin,"2021-2030 WI HastaqDNA Population Projections joined to 2020 Census Blocks, P2",HaystaqDNA,SHP,1129.11048,20210521,wi_b_proj_P2_2020tiger.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fprojection_geographies%2F20210519%2Fb_p2_zipped%2Fwi_b_proj_P2_2020tiger.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=23125
Wisconsin,"2021-2030 WI HastaqDNA Population Projections joined to 2020 Census Blocks, P2",HaystaqDNA,CSV,78.149016,20210521,wi_b_proj_P2_2020tiger.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fprojections%2F20210519%2Fblock_p2_csv_zipped%2Fwi_b_proj_P2_2020tiger.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=23125
Wisconsin,"2022 Wisconsin Assembly Districts Approved Plan","Wisconsin Legislative Technology Services Bureau",SHP,3.9,20220425,wi_sldl_adopted_2022.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Flegislative%2F2021_adopted_plans%2Fwi_sldl_adopted_2022.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=35912
Wisconsin,"2022 Wisconsin Congressional Districts Approved Plan","Office of Governor Tony Evers",SHP,0.6,20220325,wi_cong_adopted_2022.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Flegislative%2F2021_adopted_plans%2Fwi_cong_adopted_2022.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=34700
Wisconsin,"2022 Wisconsin L2 Voter File Elections Turnout Statistics Aggregated to 2020 Census Blocks",L2,CSV,23.3,20230816,WI_l2_2022stats_2020block.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fvoterfile%2Fl2_2022stats_2020blockagg_20230403_20230613%2FWI_l2_2022stats_2020block.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=42413
